key,turkish,english,source_file,line,raw_snippet
AIAracCagrisiHatasiToolResultCallError,AI araç çağrısı hatası: {toolResultCall.Error},,AiActionService.cs,103,AI araç çağrısı hatası: {toolResultCall.Error}
AIAracCagrisiHatasiToolName,AI araç çağrısı hatası: {toolName},,AiActionService.cs,104,AI araç çağrısı hatası: {toolName}
BaziAIAracCagrilariBasarisizOldu,Bazı AI araç çağrıları başarısız oldu.,,AiActionService.cs,111,Bazı AI araç çağrıları başarısız oldu.
AIAracCagrilariBasariylaTamamlandi,AI araç çağrıları başarıyla tamamlandı.,,AiActionService.cs,111,AI araç çağrıları başarıyla tamamlandı.
AIAciklamasiTamamlandiRequestActionTitle,AI açıklaması tamamlandı: {request.ActionTitle},,AiActionService.cs; AiActionService.cs,122,AI açıklaması tamamlandı: {request.ActionTitle}
AIAciklamasiTamamlandi,AI açıklaması tamamlandı.,,AiActionService.cs,128,AI açıklaması tamamlandı.
AIKodIcerigiCikarilamadi,AI kod içeriği çıkarılamadı.,,AiActionService.cs,140,AI kod içeriği çıkarılamadı.
AIOnerisiHazirlandiRequestActionTitle,AI önerisi hazırlandı: {request.ActionTitle},,AiActionService.cs; AiActionService.cs,145,AI önerisi hazırlandı: {request.ActionTitle}
AIOnerisiHazirlandiDegisiklikleriInceleyipOnaylayabilirsiniz,AI önerisi hazırlandı. Değişiklikleri inceleyip onaylayabilirsiniz.,,AiActionService.cs,151,AI önerisi hazırlandı. Değişiklikleri inceleyip onaylayabilirsiniz.
BuDizinAltindakiTumDosyalariTarayipIlgiliDosyalariBulabilirsinAcikOlmayanDosyalariDaBulmakIcinFindFilesVeSearchCodeAracl,Bu dizin altındaki tüm dosyaları tarayıp ilgili dosyaları bulabilirsin. Açık olmayan dosyaları da bulmak için FindFiles ve SearchCode araçlarını kullan. İhtiyaç olduğunda proje genelinde arama yapıp birden fazla dosyayı düzenleyebilirsin.,,AiActionService.cs,179,Bu dizin altındaki tüm dosyaları tarayıp ilgili dosyaları bulabilirsin. Açık olmayan dosyaları da bulmak için FindFiles ve SearchCode araçlarını kullan. İhtiyaç olduğunda proje genelinde arama yapıp birden fazla dosyayı düzenleyebilirsin.
Icerik,İçerik:,,AiActionService.cs; ChatFlowService.cs,188,İçerik:
PlanUretiliyorObjective,🧠 Plan üretiliyor: {objective},,AiPlanGenerator.cs,40,🧠 Plan üretiliyor: {objective}
PlanAkisi,──────── Plan Akışı ────────,,AiPlanGenerator.cs,41,──────── Plan Akışı ────────
AIPlanCiktisiBos,AI plan çıktısı boş.,,AiPlanGenerator.cs,131,AI plan çıktısı boş.
PlanAkisiSonu,──────── Plan Akışı Sonu ────────,,AiPlanGenerator.cs,133,──────── Plan Akışı Sonu ────────
PlanUretildiPlanContentLengthKarakter,✅ Plan üretildi ({planContent.Length} karakter),,AiPlanGenerator.cs,134,✅ Plan üretildi ({planContent.Length} karakter)
PlanUretmeHatasiExMessage,❌ Plan üretme hatası: {ex.Message},,AiPlanGenerator.cs,139,❌ Plan üretme hatası: {ex.Message}
KurtarmaPlaniUretiliyor,🔧 Kurtarma planı üretiliyor...,,AiPlanGenerator.cs,158,🔧 Kurtarma planı üretiliyor...
KurtarmaPlaniUretimindeYanitAlinamadi,Kurtarma planı üretiminde yanıt alınamadı.,,AiPlanGenerator.cs,200,Kurtarma planı üretiminde yanıt alınamadı.
KurtarmaPlaniCiktisiBos,Kurtarma planı çıktısı boş.,,AiPlanGenerator.cs,206,Kurtarma planı çıktısı boş.
KurtarmaPlaniUretildi,✅ Kurtarma planı üretildi,,AiPlanGenerator.cs,209,✅ Kurtarma planı üretildi
KurtarmaPlaniUretmeHatasiExMessage,❌ Kurtarma planı üretme hatası: {ex.Message},,AiPlanGenerator.cs,214,❌ Kurtarma planı üretme hatası: {ex.Message}
TaskGraphUretiliyor,🔗 Task graph üretiliyor...,,AiPlanGenerator.cs,232,🔗 Task graph üretiliyor...
TaskGraphUretimindeYanitAlinamadi,Task graph üretiminde yanıt alınamadı.,,AiPlanGenerator.cs,269,Task graph üretiminde yanıt alınamadı.
TaskGraphCiktisiBos,Task graph çıktısı boş.,,AiPlanGenerator.cs,275,Task graph çıktısı boş.
TaskGraphUretildi,✅ Task graph üretildi,,AiPlanGenerator.cs,278,✅ Task graph üretildi
TaskGraphUretmeHatasiExMessage,❌ Task graph üretme hatası: {ex.Message},,AiPlanGenerator.cs,283,❌ Task graph üretme hatası: {ex.Message}
AISanaBirSeySoruyor,AI Sana Bir Şey Soruyor,,AskUserDialog.xaml; AskUserDialog.xaml.cs,194,"Text=""AI Sana Bir Şey Soruyor"""
VeyaKendiCevabiniYaz,Veya kendi cevabını yaz:,,AskUserDialog.xaml; AskUserDialog.xaml.cs,210,"Text=""Veya kendi cevabını yaz:"""
Iptal,İptal,Cancel,AskUserDialog.xaml; AskUserDialog.xaml.cs; ConfirmCommandWindow.xaml.cs; InputDialog.xaml; InputDialog.xaml.cs; Localization.cs; MainWindow.ChatPanel.cs; MainWindow.ChatPanel.cs; PlanWindow.xaml; RagSettingsWindow.xaml; RagSettingsWindow.xaml.cs; SettingsWindow.xaml; SettingsWindow.xaml.cs; VoiceSettingsWindow.xaml.cs,229,"Content=""İptal"""
BirdenFazlaSecenekSecebilirsiniz,Birden fazla seçenek seçebilirsiniz,,AskUserDialog.xaml.cs,67,Birden fazla seçenek seçebilirsiniz
BirSecenekSecin,Bir seçenek seçin,,AskUserDialog.xaml.cs,68,Bir seçenek seçin
IptalEdildi,İptal edildi.,,AskUserDialog.xaml.cs,102,İptal edildi.
SecimYapilmadi,Seçim yapılmadı.,,AskUserDialog.xaml.cs; AskUserDialog.xaml.cs,121,Seçim yapılmadı.
YedekGecmisiMdaiAgent,Yedek Geçmişi - mdaiAgent,,BackupViewerWindow.xaml,4,"Title=""Yedek Geçmişi - mdaiAgent"""
HerhangiBirYedekSecilmedi,Herhangi bir yedek seçilmedi.,,BackupViewerWindow.xaml; BackupViewerWindow.xaml.cs,162,"Text=""Herhangi bir yedek seçilmedi."""
GezgindeGoster,Gezginde Göster,,BackupViewerWindow.xaml; BackupViewerWindow.xaml.cs,164,"Content=""Gezginde Göster"""
DosyayiIncele,Dosyayı İncele,,BackupViewerWindow.xaml; BackupViewerWindow.xaml.cs,165,"Content=""Dosyayı İncele"""
BuYedegeDon,✨ Bu Yedeğe Dön,,BackupViewerWindow.xaml; BackupViewerWindow.xaml.cs,166,"Content=""✨ Bu Yedeğe Dön"""
YedekKlasoruBulunamadi,Yedek klasörü bulunamadı.,,BackupViewerWindow.xaml.cs,45,Yedek klasörü bulunamadı.
HenuzYedekBulunmuyor,Henüz yedek bulunmuyor.,,BackupViewerWindow.xaml.cs; BackupViewerWindow.xaml.cs,60,Henüz yedek bulunmuyor.
SeciliSelectedDisplayPath,Seçili: {selected.DisplayPath},,BackupViewerWindow.xaml.cs,74,Seçili: {selected.DisplayPath}
SeciliYedekYok,Seçili yedek yok.,,BackupViewerWindow.xaml.cs,83,Seçili yedek yok.
YedekDosyaAcilamadiExMessage,Yedek dosya açılamadı: {ex.Message},,BackupViewerWindow.xaml.cs,106,Yedek dosya açılamadı:\n{ex.Message}
GezgindeGosterilemediExMessage,Gezginde gösterilemedi: {ex.Message},,BackupViewerWindow.xaml.cs,125,Gezginde gösterilemedi:\n{ex.Message}
YedegiGeriYuklemekIstediginizeEminMisinizYedekEntryDisplayPathUyariMevcutDosyaUzerineYazilacaktir,Yedeği geri yüklemek istediğinize emin misiniz? Yedek: {entry.DisplayPath} Uyarı: Mevcut dosya üzerine yazılacaktır.,,BackupViewerWindow.xaml.cs,141,Yedeği geri yüklemek istediğinize emin misiniz?\n\nYedek: {entry.DisplayPath}\n\nUyarı: Mevcut dosya üzerine yazılacaktır.
YedegiGeriYukle,Yedeği Geri Yükle,,BackupViewerWindow.xaml.cs,142,Yedeği Geri Yükle
YedekBasariylaGeriYuklendiOriginalFilePath,Yedek başarıyla geri yüklendi. {originalFilePath},,BackupViewerWindow.xaml.cs,158,Yedek başarıyla geri yüklendi.\n{originalFilePath}
Basarili,Başarılı,,BackupViewerWindow.xaml.cs; MainWindow.xaml.cs; PluginManagerWindow.xaml.cs; PluginManagerWindow.xaml.cs; PluginManagerWindow.xaml.cs,159,Başarılı
YedekGeriYuklenemediExMessage,Yedek geri yüklenemedi: {ex.Message},,BackupViewerWindow.xaml.cs,167,Yedek geri yüklenemedi:\n{ex.Message}
BellekTemizligiHatasiExMessage,[Bellek Temizliği Hatası] {ex.Message},,ChatFlowService.cs,125,[Bellek Temizliği Hatası] {ex.Message}
BellekTemizligiSessionNameOturumundanMessagesToRemoveEskiMesajTemizlendi,[Bellek Temizliği] {session.Name} oturumundan {messagesToRemove} eski mesaj temizlendi,,ChatFlowService.cs,141,[Bellek Temizliği] {session.Name} oturumundan {messagesToRemove} eski mesaj temizlendi
MesajBos,Mesaj boş.,,ChatFlowService.cs,292,Mesaj boş.
LocalModelContextDiscoveryAtlandiTokenTasarrufu,⚡ [Local Model] Context Discovery atlandı (token tasarrufu).,,ChatFlowService.cs,359,⚡ [Local Model] Context Discovery atlandı (token tasarrufu).
OZELTALIMATPROJEANAYASASIOLUSTURMAKullaniciSendenBuProjeIcinBirMdaiConstitutionMdProjeAnayasasiDosyasiOlusturmaniIstiyor,"[ÖZEL TALİMAT: PROJE ANAYASASI OLUŞTURMA] Kullanıcı senden bu proje için bir '.mdai/constitution.md' (Proje Anayasası) dosyası oluşturmanı istiyor. Bu dosya, projede kullanılacak teknolojileri, kodlama standartlarını ve mimari kuralları içermelidir. KOD YAZMA, sadece bu markdown dosyasını (CreateOrUpdateFile aracı ile) oluştur veya güncelle. Kullanıcı Talebi: {args}",,ChatFlowService.cs,372,"[ÖZEL TALİMAT: PROJE ANAYASASI OLUŞTURMA]\nKullanıcı senden bu proje için bir '.mdai/constitution.md' (Proje Anayasası) dosyası oluşturmanı istiyor. Bu dosya, projede kullanılacak teknolojileri, kodlama standartlarını ve mimari kuralları içermelidir. KOD YAZMA, sadece bu markdown dosyasını (CreateOrUpdateFile aracı ile) oluştur veya güncelle.\n\nKullanıcı Talebi: {args}"
OZELTALIMATYAZILIMSPESIFIKASYONUOLUSTURMAKullaniciSendenBirYazilimSpesifikasyonuOrnMdaiSpecMdOlusturmaniIstiyorOzellikle,"[ÖZEL TALİMAT: YAZILIM SPESİFİKASYONU OLUŞTURMA] Kullanıcı senden bir yazılım spesifikasyonu (örn: '.mdai/spec.md') oluşturmanı istiyor. Özellikleri, kullanıcı hikayelerini ve gereksinimleri detaylandır. HİÇBİR ŞEKİLDE KOD YAZMA. Sadece spesifikasyonu markdown olarak oluştur. Kullanıcı Talebi: {args}",,ChatFlowService.cs,375,"[ÖZEL TALİMAT: YAZILIM SPESİFİKASYONU OLUŞTURMA]\nKullanıcı senden bir yazılım spesifikasyonu (örn: '.mdai/spec.md') oluşturmanı istiyor. Özellikleri, kullanıcı hikayelerini ve gereksinimleri detaylandır. HİÇBİR ŞEKİLDE KOD YAZMA. Sadece spesifikasyonu markdown olarak oluştur.\n\nKullanıcı Talebi: {args}"
OZELTALIMATMIMARIPLANOLUSTURMAKullaniciSendenTeknikBirMimariPlanOrnMdaiImplementationPlanMdOlusturmaniIstiyorHangiTeknol,"[ÖZEL TALİMAT: MİMARİ PLAN OLUŞTURMA] Kullanıcı senden teknik bir mimari plan (örn: '.mdai/implementation_plan.md') oluşturmanı istiyor. Hangi teknolojilerin kullanılacağını, hangi dosyaların ekleneceğini/değiştirileceğini detaylandır. HİÇBİR ŞEKİLDE KOD YAZMA. Sadece planı markdown olarak oluştur. Kullanıcı Talebi: {args}",,ChatFlowService.cs,378,"[ÖZEL TALİMAT: MİMARİ PLAN OLUŞTURMA]\nKullanıcı senden teknik bir mimari plan (örn: '.mdai/implementation_plan.md') oluşturmanı istiyor. Hangi teknolojilerin kullanılacağını, hangi dosyaların ekleneceğini/değiştirileceğini detaylandır. HİÇBİR ŞEKİLDE KOD YAZMA. Sadece planı markdown olarak oluştur.\n\nKullanıcı Talebi: {args}"
OZELTALIMATGOREVLISTESIOLUSTURMAKullaniciSendenMevcutPlaniAdimAdimUygulanabilirBirGorevListesineOrnMdaiTaskMdDonusturmen,[ÖZEL TALİMAT: GÖREV LİSTESİ OLUŞTURMA] Kullanıcı senden mevcut planı adım adım uygulanabilir bir görev listesine (örn: '.mdai/task.md') dönüştürmeni istiyor. Check-box'lar içeren bir liste yap. HİÇBİR ŞEKİLDE KOD YAZMA. Sadece görev listesini oluştur. Kullanıcı Talebi: {args},,ChatFlowService.cs,381,[ÖZEL TALİMAT: GÖREV LİSTESİ OLUŞTURMA]\nKullanıcı senden mevcut planı adım adım uygulanabilir bir görev listesine (örn: '.mdai/task.md') dönüştürmeni istiyor. Check-box'lar içeren bir liste yap. HİÇBİR ŞEKİLDE KOD YAZMA. Sadece görev listesini oluştur.\n\nKullanıcı Talebi: {args}
OZELTALIMATKODLAMAVEUYGULAMAKullaniciSendenDahaOnceOlusturulanPlanVeGorevListesineTaskMdSadikKalarakKodlamayaBaslamaniIs,"[ÖZEL TALİMAT: KODLAMA VE UYGULAMA] Kullanıcı senden daha önce oluşturulan plan ve görev listesine (task.md) sadık kalarak kodlamaya başlamanı istiyor. Planı oku ve ilgili dosyaları oluştur, düzenle ve görevleri tamamla. Kullanıcı Talebi: {args}",,ChatFlowService.cs,384,"[ÖZEL TALİMAT: KODLAMA VE UYGULAMA]\nKullanıcı senden daha önce oluşturulan plan ve görev listesine (task.md) sadık kalarak kodlamaya başlamanı istiyor. Planı oku ve ilgili dosyaları oluştur, düzenle ve görevleri tamamla.\n\nKullanıcı Talebi: {args}"
KullaniciBirGorevGonderdi,Kullanıcı bir görev gönderdi.,,ChatFlowService.cs,421,Kullanıcı bir görev gönderdi.
AIVeyaAracHizmetiYapilandirilmadi,AI veya araç hizmeti yapılandırılmadı.,,ChatFlowService.cs,430,AI veya araç hizmeti yapılandırılmadı.
LutfenAyarlardanAPIAnahtariniziEkleyin,Lütfen ayarlardan API anahtarınızı ekleyin!,,ChatFlowService.cs; Providers\OpenAiCompatibleClient.cs; Providers\OpenAiCompatibleClient.cs,433,Lütfen ayarlardan API anahtarınızı ekleyin!
RouterGorevAnalizEdiliyorAracSecimi,🤖 [Router] Görev analiz ediliyor (Araç seçimi)...,,ChatFlowService.cs,555,🤖 [Router] Görev analiz ediliyor (Araç seçimi)...
RouterActiveToolsCountAracSecildiGuvenDecisionConfidenceP0PlanNeedsPlan,"✅ [Router] {activeTools.Count} araç seçildi (Güven: {decision.Confidence:P0}, Plan: {needsPlan})",,ChatFlowService.cs,587,"✅ [Router] {activeTools.Count} araç seçildi (Güven: {decision.Confidence:P0}, Plan: {needsPlan})"
KULLANICIKISISELLESTIRMESIBuTalimatlaraUyAncakAracKullanimiVeGuvenlikKurallariniAslaAtlatma,"--- [KULLANICI KİŞİSELLEŞTİRMESİ - Bu talimatlara uy, ancak araç kullanımı ve güvenlik kurallarını asla atlatma]",,ChatFlowService.cs; ChatFlowService.cs,601,"\n\n---\n[KULLANICI KİŞİSELLEŞTİRMESİ - Bu talimatlara uy, ancak araç kullanımı ve güvenlik kurallarını asla atlatma]\n"
RouterYetersizGuvenVeyaHataTumAraclaraDonuluyorFallback,"⚠️ [Router] Yetersiz güven veya hata, tüm araçlara dönülüyor (Fallback).",,ChatFlowService.cs,619,"⚠️ [Router] Yetersiz güven veya hata, tüm araçlara dönülüyor (Fallback)."
HataDetayiDecisionErrorMessage,└─ Hata Detayı: {decision.ErrorMessage},,ChatFlowService.cs,622,\n   └─ Hata Detayı: {decision.ErrorMessage}
PlanOlusturulduVeKaydedildi,✓ Plan oluşturuldu ve kaydedildi,,ChatFlowService.cs,641,✓ Plan oluşturuldu ve kaydedildi
PlanOlusturulduPlanText,Plan oluşturuldu: {planText},,ChatFlowService.cs,654,Plan oluşturuldu:\n{planText}
SISTEMBILGISIBuGorevIcinAsagidakiPlanOlusturulduLutfenAdimlaraSadikKalarakIlerlePlanText,[SİSTEM BİLGİSİ] Bu görev için aşağıdaki plan oluşturuldu. Lütfen adımlara sadık kalarak ilerle: {planText},,ChatFlowService.cs,660,[SİSTEM BİLGİSİ] Bu görev için aşağıdaki plan oluşturuldu. Lütfen adımlara sadık kalarak ilerle:\n\n{planText}
CreatePlanHatasiDevamEdiliyorExMessage,⚠️ CreatePlan hatası (devam ediliyor): {ex.Message},,ChatFlowService.cs,670,⚠️ CreatePlan hatası (devam ediliyor): {ex.Message}
AIYanitiIsliyorTurIteration1,🧠 AI yanıtı işliyor (tur {iteration + 1})...,,ChatFlowService.cs,678,🧠 AI yanıtı işliyor (tur {iteration + 1})...
IslemIptalEdildiYarimKalanYanitGecmiseKaydedildi,⚠️ İşlem iptal edildi. Yarım kalan yanıt geçmişe kaydedildi.,,ChatFlowService.cs,717,⚠️ İşlem iptal edildi. Yarım kalan yanıt geçmişe kaydedildi.
TRUNCATEDCokUzunOlduguIcinKirpildi,[TRUNCATED: Çok uzun olduğu için kırpıldı],,ChatFlowService.cs,775,\n\n[TRUNCATED: Çok uzun olduğu için kırpıldı]
LutfenOncekiIstegeKisaVeOzBirYanitVerSadeceKisaBirMetinIleCevapVeriniz,Lütfen önceki isteğe kısa ve öz bir yanıt ver. Sadece kısa bir metin ile cevap veriniz.,,ChatFlowService.cs,790,Lütfen önceki isteğe kısa ve öz bir yanıt ver. Sadece kısa bir metin ile cevap veriniz.
BosYanitAlindi,Boş yanıt alındı.,,ChatFlowService.cs,812,Boş yanıt alındı.
QuestionQuestionKullaniciSecimiAlinamadi,{question.Question}: kullanıcı seçimi alınamadı,,ChatFlowService.cs,834,{question.Question}: kullanıcı seçimi alınamadı
KullaniciAsagidakiSecimleriYapti,Kullanıcı aşağıdaki seçimleri yaptı:,,ChatFlowService.cs,845,Kullanıcı aşağıdaki seçimleri yaptı:\n
SecimlerAlindiAIGoreviDegerlendiriyor,✅ Seçimler alındı; AI görevi değerlendiriyor...,,ChatFlowService.cs,850,✅ Seçimler alındı; AI görevi değerlendiriyor...
ToolNameCalistiriliyor,⚙️ {toolName} çalıştırılıyor...,,ChatFlowService.cs,932,⚙️ {toolName} çalıştırılıyor...
ToolNameIcinAracCalistiricisiMevcutDegil,⚠️ {toolName} için araç çalıştırıcısı mevcut değil.,,ChatFlowService.cs,941,⚠️ {toolName} için araç çalıştırıcısı mevcut değil.
BuGorevIcinPlanZatenOlusturulduTekrarPlanlamaAtlandi,ℹ️ Bu görev için plan zaten oluşturuldu; tekrar planlama atlandı.,,ChatFlowService.cs,948,ℹ️ Bu görev için plan zaten oluşturuldu; tekrar planlama atlandı.
BuGorevIcinPlanZatenOlusturulduMevcutPlaniKullanarakUygulamayaDevamEtTekrarCreatePlanCagirma,Bu görev için plan zaten oluşturuldu. Mevcut planı kullanarak uygulamaya devam et; tekrar CreatePlan çağırma.,,ChatFlowService.cs,952,Bu görev için plan zaten oluşturuldu. Mevcut planı kullanarak uygulamaya devam et; tekrar CreatePlan çağırma.
CiktiKirpildiOrigLenN0Karakterden12000EIndirildi,[⚠️ Çıktı kırpıldı: {origLen:N0} karakterden 12.000'e indirildi.,,ChatFlowService.cs,978,\n\n[⚠️ Çıktı kırpıldı: {origLen:N0} karakterden 12.000'e indirildi. 
DahaFazlasinaIhtiyacDuyuyorsanReadFileIleStartLineEndLineParametreleriniKullan,Daha fazlasına ihtiyaç duyuyorsan ReadFile ile startLine/endLine parametrelerini kullan.],,ChatFlowService.cs,979,Daha fazlasına ihtiyaç duyuyorsan ReadFile ile startLine/endLine parametrelerini kullan.]
TumKodDegisiklikleriDogrulaniyorBuildTest,🔍 Tüm kod değişiklikleri doğrulanıyor (build + test)...,,ChatFlowService.cs,1017,🔍 Tüm kod değişiklikleri doğrulanıyor (build + test)...
VerificationBasarisizVerificationResultStatusVerificationResultErrorSummary,⚠️ Verification başarısız: {verificationResult.Status} - {verificationResult.ErrorSummary},,ChatFlowService.cs,1029,⚠️  Verification başarısız: {verificationResult.Status} - {verificationResult.ErrorSummary}
VerificationBasariliTumTestlerGecti,✅ Verification başarılı - Tüm testler geçti!,,ChatFlowService.cs,1034,✅ Verification başarılı - Tüm testler geçti!
AracBasariliKlasorIcerigiListelendiTokenTasarrufuIcinDetaylarGecmisteGizlendi,[Araç Başarılı: Klasör içeriği listelendi (Token tasarrufu için detaylar geçmişte gizlendi)],,ChatFlowService.cs,1053,[Araç Başarılı: Klasör içeriği listelendi (Token tasarrufu için detaylar geçmişte gizlendi)]
AracBasariliDosyaOkunduTokenTasarrufuIcinDetaylarGecmisteGizlendi,[Araç Başarılı: Dosya okundu (Token tasarrufu için detaylar geçmişte gizlendi)],,ChatFlowService.cs,1054,[Araç Başarılı: Dosya okundu (Token tasarrufu için detaylar geçmişte gizlendi)]
AracBasariliDosyaBasariylaKaydedildiGuncellendi,[Araç Başarılı: Dosya başarıyla kaydedildi/güncellendi],,ChatFlowService.cs,1055,[Araç Başarılı: Dosya başarıyla kaydedildi/güncellendi]
